Subject,Predicate,Object,Section,Organism,PMCID
FocalCorticalDysplasiaTypeIIB,(hasNeuroPathologyFinding,LossofMyelination) or (hasNeuroPathologyFinding (BalloonCell and DysmorphicNeurons))             ,,,
FocalCorticalDysplasiaTypeIIIA,(hasNeuroPathologyFinding,(CorticalDyslamination and (isLocatedAt only TemporalLobe))) and (isAdjacentTo HippocampalSclerosis)           ,,,
FocalCorticalDysplasiaTypeIIID,(hasNeuroPathologyFinding,CorticalDyslamination) and (isAdjacentTo Scar)               ,,,
AnteriorCingulateEpilepsy,hasAgeOfOnset,max 51 Year                ,,,
AnteriorCingulateEpilepsy,hasAgeOfOnset,min 2 Year                ,,,
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasAgeOfOnset,Child                  ,,,
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasAgeOfOnset,max 50 Year                ,,,
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasAgeOfOnset,min 4 Year                ,,,
BenignChildhoodEpilepsyWithCentrotemporalSpikes,hasAgeOfOnset,max 10 Year                ,,,
BenignChildhoodEpilepsyWithCentrotemporalSpikes,hasAgeOfOnset,min 4 Year                ,,,
ChildhoodAbsenceEpilepsy,hasAgeOfOnset,max 10 Year                ,,,
ChildhoodAbsenceEpilepsy,hasAgeOfOnset,min 4 Year                ,,,
ChildhoodEpilepsyWithOccipitalParoxysms,hasAgeOfOnset,max 13 Year                ,,,
ChildhoodEpilepsyWithOccipitalParoxysms,hasAgeOfOnset,min 4 Year                ,,,
ChildhoodRolandicEpilepsy,hasAgeOfOnset,max 14 Year                ,,,
ChildhoodRolandicEpilepsy,hasAgeOfOnset,min 1 Year                ,,,
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasAgeOfOnset,max 15 Year                ,,,
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasAgeOfOnset,min 15 Year                ,,,
DravetSyndrome,hasAgeOfOnset,Infant                  ,,,
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasAgeOfOnset,min 13 Year                ,,,
GeneralizedEpilepsyWithFebrileSeizuresPlus,hasAgeOfOnset,Infant                  ,,,
JuvenileAbsenceEpilepsy,hasAgeOfOnset,max 16 Year                ,,,
JuvenileAbsenceEpilepsy,hasAgeOfOnset,min 8 Year                ,,,
JuvenileMyoclonicEpilepsy,hasAgeOfOnset,max 20 Year                ,,,
JuvenileMyoclonicEpilepsy,hasAgeOfOnset,min 8 Year                ,,,
ParietalLobeEpilepsy,hasAgeOfOnset,Age                  ,,,
PrimaryReadingEpilepsy,hasAgeOfOnset,max 20 Year                ,,,
PrimaryReadingEpilepsy,hasAgeOfOnset,min 8 Year                ,,,
AcetylcholinReceptorAssociatedEncephalitis,hasAssociatedAntigen,AcetylcholinReceptor                  ,,,
AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor1AssociatedEncephalitis,hasAssociatedAntigen,AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor1                  ,,,
AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor2AssociatedEncephalitis,hasAssociatedAntigen,AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor2                  ,,,
AmphiphysinAssociatedEncephalitis,hasAssociatedAntigen,Amphiphysin                  ,,,
AntiNeuronalNuclearAntibody1AssociatedEncephalitis,hasAssociatedAntigen,Type1AntiNeuronalNuclearAntibody                  ,,,
AntiNeuronalNuclearAntibody2AssociatedEncephalitis,hasAssociatedAntigen,Type2AntiNeuronalNuclearAntibody                  ,,,
AntiNeuronalNuclearAntibody3AssociatedEncephalitis,hasAssociatedAntigen,Type3AntineuronalNuclearAntibody                  ,,,
Aquaporin4AssociatedEncephalitis,hasAssociatedAntigen,Aquaporin4                  ,,,
ContactinAssociatedProtein2AssociatedEncephalitis,hasAssociatedAntigen,ContactinAssociatedProtein2                  ,,,
DeltaNotchEpidermalGrowthFactorReceptorAssociatedEncephalitis,hasAssociatedAntigen,DeltaNotchLikeEpidermalGrowthFactorRelatedReceptor                  ,,,
DihydropyrimidinaseRelatedProtein5AssociatedEncephalitis,hasAssociatedAntigen,DihydropyrimidinaseRelatedProtein5                  ,,,
DipeptidylPeptidaselikeProtein6AssociatedEncephalitis,hasAssociatedAntigen,DipeptidylPeptidaseLikeProtein6                  ,,,
GlutamateDecarboxylase65AssociatedEncephalitis,hasAssociatedAntigen,GlutamateDecarboxylase65                  ,,,
GlycineReceptorAssociatedEncephalitis,hasAssociatedAntigen,GlycineReceptor                  ,,,
LeucineRichGliomaInactivatedProtein1AssociatedEncephalitis,hasAssociatedAntigen,LeucineRichGliomaInactivatedProtein1                  ,,,
